job_title,company,job_location,job_skills,job_link,cluster,nome_cluster,score_similaridade,score_percentual,ranking,categoria_compatibilidade,id_usuario,nome,titulo_postagem
Business Intelligence Lead,Hexaware Technologies,"Chicago, IL","Power BI, Power BI Desktop, Power BI Services, SQL Server, Dimensional Modeling, Reporting Tools, Data Visualization, Business Intelligence, Team Lead, Communication Skills, Power BI Development, SQL, Database Sources, Databases",https://www.linkedin.com/jobs/view/business-intelligence-lead-at-hexaware-technologies-3806821971,2,Data / BI / Analytics,0.4975380442124421,49.75,4,Moderadamente compatível,1,Ana,Dashboard de vendas em Power BI
Bi Analyst,Intellectt Inc,"Des Plaines, IL","Business System Analyst, SAP, Cognos Report Development, Power BI, DAX, Data Extraction, Data Visualization, Dashboarding, Microsoft Office Suite, Excel, SQL, Operations, Supply Chain Management",https://www.linkedin.com/jobs/view/bi-analyst-at-intellectt-inc-3793661814,2,Data / BI / Analytics,0.44680943285503816,44.68,4,Moderadamente compatível,1,Ana,Dashboard de vendas em Power BI
"Power BI Developer - Remote - GBP40,000",Nigel Frank International,"Peterborough, England, United Kingdom","Power BI, DAX, SQL, Data engineering, Data science, Machine learning, Communication skills, Data visualization, Analytical techniques, Statistical techniques, BI systems, BI processes, DBS, Credit Check",https://uk.linkedin.com/jobs/view/power-bi-developer-remote-gbp40-000-at-nigel-frank-international-3744005628,2,Data / BI / Analytics,0.4170571912593488,41.71,4,Moderadamente compatível,1,Ana,Dashboard de vendas em Power BI
Power BI Developer,Capleo Global,"Jackson, MS","Power BI, SQL, Data modeling, Report creation, Data visualization, Security, Power BI Embedded, Business requirements, Analytics, Reporting, Agile, Scrum, Selfservice reporting, Dashboard tool, Work estimation, Timelines, Interpersonal skills, Communication skills, Multitasking, Teamwork, Analytical skills, Problemsolving skills",https://www.linkedin.com/jobs/view/power-bi-developer-at-capleo-global-3798579476,2,Data / BI / Analytics,0.415083193035961,41.51,4,Moderadamente compatível,1,Ana,Dashboard de vendas em Power BI
Power BI Specialist [Contract Role - May Become Perm],CareVision,"Brisbane, Queensland, Australia","Power BI, Data analysis, DAX language, M query language, Data visualization, ETL processes, Data modelling, Data cleansing, Communication, Collaboration, Analytical skills, Troubleshooting, Power BI certifications",https://au.linkedin.com/jobs/view/power-bi-specialist-contract-role-may-become-perm-at-carevision-3773599477,2,Data / BI / Analytics,0.41113484276553197,41.11,4,Moderadamente compatível,1,Ana,Dashboard de vendas em Power BI
Business Analyst,Strategic Employment Partners (SEP),"Hoffman Estates, IL","IT Business Analyst, Software management, Power BI, Business Analyst, Data Analysis, Data Visualization",https://www.linkedin.com/jobs/view/business-analyst-at-strategic-employment-partners-sep-3793864746,2,Data / BI / Analytics,0.39190007235506163,39.19,3,Pouco compatível,1,Ana,Dashboard de vendas em Power BI
Snow flake architect with AWS,CENTSTONE SERVICES LLC,"New York, NY","Snowflake architecture, SSO, Active Directory, AWS services, Power BI, Azure, Snowflake Iceberg tables, S3, Migration, Dev/Ops, ETL/ELT, BI, Communication, Collaboration, Interpersonal skills",https://www.linkedin.com/jobs/view/snow-flake-architect-with-aws-at-centstone-services-llc-3797427661,2,Data / BI / Analytics,0.38439491176273843,38.44,3,Pouco compatível,1,Ana,Dashboard de vendas em Power BI
Power BI Developer,IT Minds LLC,"Los Angeles, CA","Power BI, DAX, SQL, Azure Databricks, Snowflake, Teradata, MS SQL server, Stored procedures, Data cleansing, Data profiling, Data modeling, Data integration, Data analysis, Data warehouse design, Power BI administration, Workspaces, Data models, Cubes, Power Query, APIs",https://www.linkedin.com/jobs/view/power-bi-developer-at-it-minds-llc-3689095144,2,Data / BI / Analytics,0.36864809105859,36.86,3,Pouco compatível,1,Ana,Dashboard de vendas em Power BI
BI Team Lead,Harnham,"Windsor, MA","BI team leadership, Dashboarding, Client problem understanding, Requirement conversion, Power BI, SQL, Snowflake, ThoughtSpot, ETL processes, Data pipelines, BI platforms, Embedded analytics, Agile team management, Verbal and communication skills, Technical concept explanation",https://www.linkedin.com/jobs/view/bi-team-lead-at-harnham-3801454531,2,Data / BI / Analytics,0.3650970512383631,36.51,3,Pouco compatível,1,Ana,Dashboard de vendas em Power BI
Power BI Data Analyst,Storm4,"Houston, TX","Power BI, Advanced Excel, DAX, SQL, Data Warehousing, Automated reporting, Financial Modelling, Business performance analysis, Data analytics",https://www.linkedin.com/jobs/view/power-bi-data-analyst-at-storm4-3797595294,2,Data / BI / Analytics,0.3613173301650624,36.13,3,Pouco compatível,1,Ana,Dashboard de vendas em Power BI
